category_name,orders,revenue,avg_order_value,revenue_share_pct
health_beauty,8647,1412271.1499999955,149.20984152139414,9.251324024785337
watches_gifts,5495,1264333.1200000062,215.7933299197826,8.282230624330106
bed_bath_table,9272,1225209.260000004,111.86060987857245,8.025943079292908
sports_leisure,7530,1119923.630000002,132.83402087534125,7.3362515294204345
computers_accessories,6530,1032723.7699999985,135.10253401360524,6.765033913188627
furniture_decor,6307,881063.910000003,107.9735183823533,5.771560027941064
housewares,5743,759313.2900000013,111.74588520971322,4.9740117413825455
cool_stuff,3559,691680.8900000014,186.03574233458886,4.5309741228813865
auto,3810,669559.8700000023,161.72943719806818,4.386066593064078
garden_tools,3448,567354.1100000003,132.93207825679482,3.716550259065847
toys,3804,547846.5299999992,135.94206699751842,3.588762515529889
baby,2809,466727.6499999999,156.51497317236752,3.0573794001786516
perfumery,3086,443171.63000000024,132.68611676646714,2.903071657112229
telephony,4093,379202.61999999796,85.59878555304694,2.4840317021752774
office_furniture,1254,335211.3600000001,200.96604316546768,2.195859419877675
stationery,2264,269575.0500000005,109.31672749391748,1.7658975307593878
pet_shop,1688,250614.20000000042,130.25686070686092,1.6416912357179914
computers,177,228349.75999999998,1147.4862311557788,1.4958442086294634
musical_instruments,611,202187.12000000017,310.57929339477755,1.324461354859627
electronics,2517,200723.09000000003,73.55188347379993,1.314870975624019
small_appliances,609,198108.46999999997,301.07670212765953,1.2977434595505761
unknown,1392,197783.20000000027,128.68132726089803,1.2956127227118754
fashion_bags_accessories,1820,179888.2899999999,90.62382367758181,1.178389050186684
luggage_accessories,1019,168778.12,156.71134633240482,1.1056099789435672
consoles_games,1018,167097.72999999998,153.4414416896235,1.094602296475502
construction_tools_construction,736,162382.00999999998,177.2729366812227,1.063711165030835
home_appliances_2,227,118208.51999999996,511.72519480519463,0.7743451539106503
home_construction,483,95022.36999999994,159.43350671140928,0.6224603076208444
home_appliances,747,93301.77999999997,123.74241379310341,0.6111892881683794
furniture_living_room,414,85045.07000000004,171.8082222222223,0.557102295320947
agro_industry_and_commerce,177,76203.30000000002,369.918932038835,0.4991827667498035
home_confort,392,66438.21999999996,154.8676456876456,0.435214937903373
air_conditioning,246,59854.549999999974,207.1091695501729,0.39208748009029054
fixed_telephony,212,59816.53999999998,234.5746666666666,0.391838489075936
kitchen_dining_laundry_garden_furniture,241,57072.96999999999,208.29551094890505,0.3738662639443242
audio,348,56255.32000000001,155.40143646408842,0.36851010759370734
books_general_interest,496,54182.539999999986,100.89858472998135,0.3549320072323887
construction_tools_lights,242,47447.14000000001,157.63169435215949,0.31081061606997695
industry_commerce_and_business,232,46079.33999999997,173.88430188679234,0.30185060792911683
construction_tools_safety,159,42504.01999999999,232.26240437158464,0.27842986198221037
food,441,35794.679999999986,71.73282565130258,0.23447918131267081
market_place,274,33114.380000000005,108.57173770491805,0.2169214171512829
costruction_tools_garden,190,30283.940000000006,130.53422413793106,0.19838013520785905
fashion_shoes,235,27814.83000000001,108.22891050583661,0.18220580730854752
signaling_and_security,138,27792.59000000001,141.0791370558376,0.18206012037986444
art,195,27485.53,139.52045685279188,0.18004867126469226
drinks,287,26971.11000000003,74.71221606648207,0.1766788749583457
books_technical,256,22901.07,87.07631178707224,0.15001738092879074
food_drink,221,19337.77,71.88762081784387,0.12667537405035406
fashion_male_clothing,106,12514.949999999999,100.11959999999999,0.08198132320694053
christmas_supplies,125,11928.750000000002,79.525,0.07814131971800065
fashion_underwear_beach,117,11160.020000000002,87.87417322834648,0.07310562220511635
