payment_type,orders,payment_value,payment_share_pct
credit_card,74304,12101094.879999377,75.31396020636738
boleto,19191,2769932.5799999717,19.451849299100942
voucher,3679,343013.1900000006,3.729005970058484
debit_card,1485,208421.12000000008,1.5051845244731854
